"ID"	"DOCULECT"	"CONCEPT"	"GLOSS"	"VALUE"	"FORM"	"IDlist"	"CONCEPTICON_ID"	"LOAN"	"LOAN_SOURCE"	"SOURCE"	"FLOATTONE"	"VARIETY_CODE"
1	"AbasoloValleMixtec"	"MOTHER"	"madre"	"nana"	"nana"	1	1216	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
2	"AbasoloValleMixtec"		"mamá!"	"ma"	"ma"	2		"yes"	"Spanish"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
3	"AbasoloValleMixtec"	"FATHER"	"padre"	"tata"	"tata"	3	1217	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
4	"AbasoloValleMixtec"		"papá!"	"paa"	"paa"	4		"yes"	"Spanish"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
5	"AbasoloValleMixtec"	"SON"	"hijo"	"se'e"	"se'e"	6	1620	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
6	"AbasoloValleMixtec"	"DAUGHTER"	"hija"	"sesi'i"	"se-si'i"	7	1357	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
7	"AbasoloValleMixtec"	"CROSS-SEX SIBLING"	"hermana/hermano de otro genero"	"kua'à"	"kua'à"	8		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
8	"AbasoloValleMixtec"	"BROTHER (OF MAN)"	"hermano de hombre"	"ñani"	"ñani"	9	559	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
9	"AbasoloValleMixtec"	"SISTER (OF WOMAN)"	"hermana de mujer"	"ku'u"	"ku'u"	10		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
10	"AbasoloValleMixtec"	"AUNT"	"tía"	"xixi"	"xixi"	11	1272	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
11	"AbasoloValleMixtec"	"UNCLE"	"tío"	"xito"	"xito"	12	1327	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
12	"AbasoloValleMixtec"	"MAN"	"hombre"	"chàa"	"chàa"	13	1554	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
13	"AbasoloValleMixtec"	"WOMAN"	"mujer"	"ñà'an"	"ñà'an"	14	962	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
14	"AbasoloValleMixtec"	"OWNER"	"dueño"	"sto'o"	"sto'o"	15	1036	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
15	"AbasoloValleMixtec"	"PRIEST"	"sacerdote"	"sutu"	"sutu"	16	852	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
16	"AbasoloValleMixtec"	"BLOOD"	"sangre"	"niì"	"niì"	17	946	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
17	"AbasoloValleMixtec"		"pelo"	"ixi"	"ixi"	19		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
18	"AbasoloValleMixtec"	"FACE"	"cara"	"nùù"	"nùù"	20	1560	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
19	"AbasoloValleMixtec"	"TONGUE"	"lengua"	"yaá"	"yaá"	21	1205	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
20	"AbasoloValleMixtec"	"TOOTH"	"diente"	"nu'u"	"nu'u"	22	1380	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
21	"AbasoloValleMixtec"	"MOUTH"	"boca"	"yu'u"	"yu'u"	23	674	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
22	"AbasoloValleMixtec"	"EAR"	"oreja"	"so'o"	"so'o"	24	1247	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
23	"AbasoloValleMixtec"	"NOSE"	"nariz"	"xichi"	"xichi"	25	1221	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
24	"AbasoloValleMixtec"	"NECK"	"cuello"	"sukú"	"sukú"	26	1333	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
25	"AbasoloValleMixtec"	"HAND"	"mano"	"nta'á"	"nta'á"	27	1277	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
26	"AbasoloValleMixtec"	"BACK"	"espalda"	"sata"	"sata"	29	1291	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
27	"AbasoloValleMixtec"	"FOOT"	"pie"	"tsa'a"	"tsa'a"	32	1301	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
28	"AbasoloValleMixtec"	"DISEASE"	"enfermedad"	"kue'é"	"kue'é"	33	1986	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
29	"AbasoloValleMixtec"	"PIMPLE"	"grano"	"nti'í"	"nti'í"	36	1809	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
30	"AbasoloValleMixtec"	"CLOTH OR CLOTHES"	"tela, ropa"	"sa'ma"	"sa'ma"	39		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
31	"AbasoloValleMixtec"	"SANDAL"	"huarache"	"ntsítsa"	"ntsítsa"	40		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
32	"AbasoloValleMixtec"	"TROUSERS"	"pantalón"	"tsatu"	"tsatu"	41	809	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
33	"AbasoloValleMixtec"	"TOWN OR VILLAGE"	"pueblo"	"ñuu"	"ñuu"	43	3609	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
34	"AbasoloValleMixtec"	"HOUSE"	"casa"	"ve'e"	"ve'e"	44	1252	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
35	"AbasoloValleMixtec"	"PATH"	"camino"	"ichi"	"ichi"	45	2252	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
36	"AbasoloValleMixtec"	"POST"	"horcón"	"si'ìn"	"si'ìn"	46	281	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
37	"AbasoloValleMixtec"	"MAT"	"petate"	"yuvi"	"yuvi"	47	195	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
38	"AbasoloValleMixtec"	"BED"	"cama, lecho"	"tsíto"	"tsíto"	48	1663	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
39	"AbasoloValleMixtec"	"STOOL"	"silla"	"chai"	"chai"	49	1476	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
40	"AbasoloValleMixtec"	"ANIMALANIMAL"	"animal"	"kiti"	"kiti"	50	619619	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
41	"AbasoloValleMixtec"	"BIRD"	"pájaro"	"saa"	"saa"	51	937	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
42	"AbasoloValleMixtec"		"pez, pescado"	"chaká"	"chaká"	52		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
43	"AbasoloValleMixtec"		"víbora"	"kòò"	"kòò"	53		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
44	"AbasoloValleMixtec"	"FROG"	"rana"	"sa'va"	"sa'va"	54	503	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
45	"AbasoloValleMixtec"	"HAWK"	"gavilán"	"xi'an"	"xi'an"	55	3258	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
46	"AbasoloValleMixtec"	"BEE"	"abeja"	"ñuñu"	"ñuñu"	59	665	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
47	"AbasoloValleMixtec"	"MUROID (MOUSE OR RAT)"	"ratón, rata"	"ti'in"	"ti'in"	60	2139	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
48	"AbasoloValleMixtec"	"DEER"	"venado"	"isu"	"isu"	61	1936	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
49	"AbasoloValleMixtec"	"SQUIRREL"	"ardilla"	"ntikuain"	"nti-kuain"	62	1628	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
50	"AbasoloValleMixtec"	"POSSUM"	"tlacuache"	"tsoko"	"tsoko"	64	470	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
51	"AbasoloValleMixtec"	"RACCOON"	"mapache"	"ma'àn"	"ma'àn"	65	828	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
52	"AbasoloValleMixtec"	"DOG"	"perro"	"tina"	"tina"	68	2009	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
53	"AbasoloValleMixtec"	"CAT"	"gato"	"vilu"	"vilu"	69	1208	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
54	"AbasoloValleMixtec"	"ROOSTER"	"gallo"	"to'lo"	"to'lo"	70	1511	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
55	"AbasoloValleMixtec"	"HEN"	"gallina"	"chata"	"chata"	71	1514	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
56	"AbasoloValleMixtec"		"marrano, puerco, cerdo"	"kìni"	"kìni"	72		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
57	"AbasoloValleMixtec"	"HORSE"	"caballo"	"kiti"	"kiti"	73	615	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
58	"AbasoloValleMixtec"		"borrego, oveja"	"ntikachi"	"nti-kachi"	74		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
59	"AbasoloValleMixtec"	"ANT"	"hormiga"	"choko"	"choko"	75	587	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
60	"AbasoloValleMixtec"	"HORN (ANATOMY)"	"cuerno"	"ntiki"	"ntiki"	76	1393	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
61	"AbasoloValleMixtec"		"pluma"	"túmi"	"túmi"	77		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
62	"AbasoloValleMixtec"	"TAIL"	"cola"	"nto'o"	"nto'o"	79	1220	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
63	"AbasoloValleMixtec"		"árbol"	"yutu"	"yutu"	80		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
64	"AbasoloValleMixtec"	"HERB"	"hierba"	"kù'ù"	"kù'ù"	81		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
65	"AbasoloValleMixtec"		"zacate, pasto"	"icha"	"icha"	82		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
66	"AbasoloValleMixtec"	"FLOWER"	"flor"	"ita"	"ita"	83	239	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
67	"AbasoloValleMixtec"	"MAGUEYMAGUEY"	"maguey"	"yàvì"	"yàvì"	84		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
68	"AbasoloValleMixtec"	"ROOT"	"raíz"	"yo'o"	"yo'o"	85	670	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
69	"AbasoloValleMixtec"	"THORN"	"espina"	"iñu"	"iñu"	86	124	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
70	"AbasoloValleMixtec"	"CORN"	"maíz"	"nuni"	"nuni"	87	506	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
71	"AbasoloValleMixtec"	"CORN FIELD"	"milpa"	"itu"	"itu"	88	449	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
72	"AbasoloValleMixtec"	"EAR OF CORN (FRESH)"	"elote"	"ntíxi"	"ntíxi"	89		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
73	"AbasoloValleMixtec"	"NIXTAMALNIXTAMAL"	"nixtamal"	"tsá'á"	"tsá'á"	90		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
74	"AbasoloValleMixtec"	"CORN DOUGH"	"masa"	"yutsa"	"yutsa"	91		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
75	"AbasoloValleMixtec"	"TORTILLATORTILLA"	"tortilla"	"staa"	"staa"	92		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
76	"AbasoloValleMixtec"		"surco"	"yuku"	"yuku"	94		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
77	"AbasoloValleMixtec"		"espiga"	"yòko"	"yòko"	95		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
78	"AbasoloValleMixtec"		"frijol(es)"	"ntuchi"	"ntuchi"	96		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
79	"AbasoloValleMixtec"		"ejote"	"nchichi"	"nchichi"	97		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
80	"AbasoloValleMixtec"	"CHILI PEPPER"	"chile"	"ya'a"	"ya'a"	98	919	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
81	"AbasoloValleMixtec"	"SALT"	"sal"	"iìn"	"iìn"	99	1274	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
82	"AbasoloValleMixtec"	"PUMPKIN"	"calabaza"	"iki"	"iki"	100	864	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
83	"AbasoloValleMixtec"	"CHAYOTECHAYOTE"	"chayote"	"naña"	"naña"	101		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
84	"AbasoloValleMixtec"	"SUGAR CANE"	"caña"	"ntòò"	"ntòò"	102	146	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
85	"AbasoloValleMixtec"	"HONEY"	"miel"	"ntuxi"	"ntuxi"	103	942	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
86	"AbasoloValleMixtec"	"FAT (FROM ANIMALS)"	"manteca"	"xa'an"	"xa'an"	104	1282	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
87	"AbasoloValleMixtec"	"EGG"	"huevo"	"ntívi"	"ntívi"	105	744	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
88	"AbasoloValleMixtec"	"SWEET POTATO"	"camote"	"ña'mi"	"ña'mi"	107	159	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
89	"AbasoloValleMixtec"	"AVOCADO"	"aguacate"	"tichi"	"tichi"	108	3725	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
90	"AbasoloValleMixtec"	"BANANA"	"plátano"	"nchikà"	"nchikà"	109	868	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
91	"AbasoloValleMixtec"	"PRICKLY PEAR CACTUS"	"nopal"	"mi'ncha"	"mi'ncha"	110		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
92	"AbasoloValleMixtec"	"MUSHROOM"	"hongo"	"tsi'i"	"tsi'i"	113	641	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
93	"AbasoloValleMixtec"	"MEAT"	"carne"	"kuñu"	"kuñu"	114	2615	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
94	"AbasoloValleMixtec"	"GRIDDLE"	"comal"	"tsio"	"tsio"	115		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
95	"AbasoloValleMixtec"	"COOKING POT"	"olla"	"kìsi"	"kìsi"	116	3653	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
96	"AbasoloValleMixtec"	"OVEN"	"horno"	"tsìtù"	"tsìtù"	117	1143	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
97	"AbasoloValleMixtec"	"FIRE"	"lumbre, fuego"	"ñu'un"	"ñu'un"	118	221	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
98	"AbasoloValleMixtec"	"ASH"	"ceniza"	"yàà"	"yàà"	119	646	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
99	"AbasoloValleMixtec"	"SMOKE (EXHAUST)"	"humo"	"ñu'ma"	"ñu'ma"	121	778	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
100	"AbasoloValleMixtec"	"GARBAGE"	"basura"	"mi'í"	"mi'í"	122	909	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
101	"AbasoloValleMixtec"	"PLATE"	"plato"	"ko'o"	"ko'o"	123	480	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
102	"AbasoloValleMixtec"	"GOURD BOWL"	"jícara"	"yatsi"	"yatsi"	124		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
103	"AbasoloValleMixtec"	"TORTILLA BASKET"	"tenate"	"nto'ó"	"nto'ó"	125		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
104	"AbasoloValleMixtec"		"hilo"	"yu'va"	"yu'va"	127		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
105	"AbasoloValleMixtec"	"COMB"	"peine"	"kuika"	"kuika"	128	1475	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
106	"AbasoloValleMixtec"		"cuerda"	"yo'o"	"yo'o"	129		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
107	"AbasoloValleMixtec"	"HOLE"	"hoyo"	"yavi"	"yavi"	130	1667	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
108	"AbasoloValleMixtec"	"SOAP"	"jabón"	"nama"	"nama"	132	788	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
109	"AbasoloValleMixtec"	"RING"	"anillo"	"xe'e"	"xe'e"	133	1374	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
110	"AbasoloValleMixtec"	"MOON"	"luna"	"yòò"	"yòò"	134	1313	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
111	"AbasoloValleMixtec"	"CLOUD"	"nube"	"víkò"	"víkò"	135	1489	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
112	"AbasoloValleMixtec"	"WATER"	"agua"	"chikui"	"chikui"	137	948	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
113	"AbasoloValleMixtec"	"RAIN (PRECIPITATION)"	"lluvia"	"savi"	"savi"	138	658	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
114	"AbasoloValleMixtec"	"RIVER"	"río"	"yùcha"	"yùcha"	139	666	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
115	"AbasoloValleMixtec"	"STONE OR ROCK"	"piedra"	"yùù"	"yùù"	143	857	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
116	"AbasoloValleMixtec"	"COTTON"	"algodón"	"kàchi"	"kàchi"	144	1850	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
117	"AbasoloValleMixtec"		"fierro"	"kaa"	"kaa"	145		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
118	"AbasoloValleMixtec"		"papel"	"tutu"	"tutu"	146		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
119	"AbasoloValleMixtec"	"LIME (MATERIAL)"	"cal"	"kàkà"	"kàkà"	147	2540	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
120	"AbasoloValleMixtec"	"BEESWAX"	"cera"	"ñùma"	"ñùma"	148	1931	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
121	"AbasoloValleMixtec"	"MUD"	"lodo"	"nchá'í"	"nchá'í"	149	640	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
122	"AbasoloValleMixtec"	"DUST"	"polvo"	"yaka"	"yaka"	151	2	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
123	"AbasoloValleMixtec"	"RED"	"rojo"	"kua'a"	"kua'a"	152	156	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
124	"AbasoloValleMixtec"		"verde"	"kui"	"kui"	153		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
125	"AbasoloValleMixtec"	"YELLOW"	"amarillo"	"kuan"	"kuan"	154	1424	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
126	"AbasoloValleMixtec"	"BLACK"	"negro"	"ncha'í"	"ncha'í"	155	163	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
127	"AbasoloValleMixtec"	"WHITE"	"blanco"	"yaa"	"yaa"	156	1335	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
128	"AbasoloValleMixtec"	"ONE"	"uno"	"in"	"in"	157	1493	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
129	"AbasoloValleMixtec"	"TWO"	"dos"	"uvi"	"uvi"	158	1498	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
130	"AbasoloValleMixtec"	"THREE"	"tres"	"ùni"	"ùni"	159	492	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
131	"AbasoloValleMixtec"	"FOUR"	"cuatro"	"kùmi"	"kùmi"	160	1500	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
132	"AbasoloValleMixtec"	"FIVE"	"cinco"	"u'un"	"u'un"	161	493	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
133	"AbasoloValleMixtec"	"SIX"	"seis"	"ìñu"	"ìñu"	162	1703	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
134	"AbasoloValleMixtec"	"SEVEN"	"siete"	"utsa"	"utsa"	163	1704	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
135	"AbasoloValleMixtec"	"EIGHT"	"ocho"	"ùna"	"ùna"	164	1705	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
136	"AbasoloValleMixtec"	"NINE"	"nueve"	"ììn"	"ììn"	165	1483	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
137	"AbasoloValleMixtec"	"TEN"	"diez"	"utsi"	"utsi"	166	1515	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
138	"AbasoloValleMixtec"	"FIFTEEN"	"quince"	"tsa'un"	"tsa'un"	167	1709	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
139	"AbasoloValleMixtec"	"TWENTY"	"veinte"	"oko"	"oko"	168	1710	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
140	"AbasoloValleMixtec"	"POOR"	"pobre"	"nta'vi"	"nta'vi"	169	1674	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
141	"AbasoloValleMixtec"		"hace frío"	"vítsi"	"vítsi"	171		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
142	"AbasoloValleMixtec"		"está caliente, caliente"	"i'ni"	"i'ni"	172		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
143	"AbasoloValleMixtec"	"BIG (SINGULAR)"	"grande.SG"	"ka'nu"	"ka'nu"	173	1202	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
144	"AbasoloValleMixtec"		"pequeño.SG, chico.SG"	"luu"	"luu"	175		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
145	"AbasoloValleMixtec"	"LONG (SINGULAR)"	"largo.SG"	"kani"	"kani"	177	1203	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
146	"AbasoloValleMixtec"	"GOOD"	"bueno"	"va'a"	"va'a"	179	1035	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
147	"AbasoloValleMixtec"	"SWEET"	"dulce"	"vixi"	"vixi"	180	717	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
148	"AbasoloValleMixtec"	"SALTY"	"salado"	"u'a"	"u'a"	181	1091	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
149	"AbasoloValleMixtec"		"amargo"	"uva"	"uva"	182		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
150	"AbasoloValleMixtec"	"TASTY"	"sabroso"	"ási"	"ási"	183	1813	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
151	"AbasoloValleMixtec"		"ancho"	"ntika"	"ntika"	184		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
152	"AbasoloValleMixtec"	"NEW"	"nuevo"	"tsaà"	"tsaà"	185	1231	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
153	"AbasoloValleMixtec"		"feo"	"kíni"	"kíni"	187		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
154	"AbasoloValleMixtec"	"JEALOUS"	"celoso"	"kuiñu"	"kuiñu"	188	2821	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
155	"AbasoloValleMixtec"		"cerca de, está cerca"	"yachi"	"yachi"	189		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
156	"AbasoloValleMixtec"	"HEAVY"	"pesado"	"vee"	"vee"	191	1210	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
157	"AbasoloValleMixtec"	"RAW"	"crudo"	"i'i"	"i'i"	192	1959	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
158	"AbasoloValleMixtec"		"liso, resbaloso"	"ntii"	"ntii"	193		"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
159	"AbasoloValleMixtec"	"SLOW"	"despacio"	"kue kueni ~ kueni kueni"	"kueni"	194	701	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
160	"AbasoloValleMixtec"	"YESTERDAY"	"ayer"	"kúni"	"kúni"	195	1174	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
161	"AbasoloValleMixtec"	"YEAR"	"año"	"kuia"	"kuia"	196	1226	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
162	"AbasoloValleMixtec"	"NOW OR TODAY"	"ahora, hoy"	"vichi"	"vichi"	197	1376	"NA"	"NA"	"galindo-sanchez2009vocabulario"	"NA"	"abas11"
