Grapheme	IPA	Class	Status	Comments
b	b	consonant	loan	
x	ʃ	consonant		not a 100% sure, no information is given, but it's in the clitic pronoun for 3M
z	θ	consonant	loan	
c	k	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ng	ᵑg	consonant	loan	like Spanish
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant	loan	like Spanish
ñ	ɲ	consonant		like Spanish
p	p	consonant		like Spanish
qu	k	consonant		like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant		like Spanish
t	t	consonant		like Spanish
v	β	consonant		like Spanish
y	j	consonant		like Spanish
cu	kʷ	consonant		before vowels
r	ɾ	consonant		
s	s	consonant		
z	s	consonant	loan	
x	ʃ	consonant		
t	t	consonant		
ch	t͡ʃ	consonant		
j	x	consonant		unsure, no info given except that it's pronounced like Spanish
h	ʔ	consonant		
v	β	consonant		
ā	a1	vowel and tone		
ān	ã1	vowel and tone		
āān	ã1ã1	vowel and tone		
āan	ã1ã3	vowel and tone		
āán	ã1ã5	vowel and tone		
a	a3	vowel and tone		
an	ã3	vowel and tone		
aān	ã3ã1	vowel and tone		
aan	ã3ã3	vowel and tone		
aán	ã3ã5	vowel and tone		
á	a5	vowel and tone		
án	ã5	vowel and tone		
áān	ã5ã1	vowel and tone		
áan	ã5ã3	vowel and tone		
áán	ã5ã5	vowel and tone		
ē	e1	vowel and tone		
ēn	ẽ1	vowel and tone		
ēēn	ẽ1ẽ1	vowel and tone		
ēen	ẽ1ẽ3	vowel and tone		
ēén	ẽ1ẽ5	vowel and tone		
e	e3	vowel and tone		
en	ẽ3	vowel and tone		
eēn	ẽ3ẽ1	vowel and tone		
een	ẽ3ẽ3	vowel and tone		
eén	ẽ3ẽ5	vowel and tone		
é	e5	vowel and tone		
én	ẽ5	vowel and tone		
éēn	ẽ5ẽ1	vowel and tone		
éen	ẽ5ẽ3	vowel and tone		
één	ẽ5ẽ5	vowel and tone		
ī	i1	vowel and tone		
īn	ĩ1	vowel and tone		
īīn	ĩ1ĩ1	vowel and tone		
īin	ĩ1ĩ3	vowel and tone		
īín	ĩ1ĩ5	vowel and tone		
i	i3	vowel and tone		
in	ĩ3	vowel and tone		
iīn	ĩ3ĩ1	vowel and tone		
iin	ĩ3ĩ3	vowel and tone		
iín	ĩ3ĩ5	vowel and tone		
í	i5	vowel and tone		
ín	ĩ5	vowel and tone		
íīn	ĩ5ĩ1	vowel and tone		
ɨ́ɨ̄n	ĩ5ĩ1	vowel and tone		
íin	ĩ5ĩ3	vowel and tone		
ɨ́ɨn	ĩ5ĩ3	vowel and tone		
íín	ĩ5ĩ5	vowel and tone		
ɨ́ɨ́n	ĩ5ĩ5	vowel and tone		
ɨ̄	ɨ1	vowel and tone		
ɨ̄n	̃ɨ̃1	vowel and tone		
ɨ̄ɨ̄n	ɨ̃1ɨ̃1	vowel and tone		
ɨ̄ɨn	ɨ̃1ɨ̃3	vowel and tone		
ɨ̄ɨ́n	ɨ̃1ɨ̃5	vowel and tone		
ɨ	ɨ3	vowel and tone		
ɨn	̃ɨ̃3	vowel and tone		
ɨɨ̄n	ɨ̃3ɨ̃1	vowel and tone		
ɨɨn	ɨ̃3ɨ̃3	vowel and tone		
ɨɨ́n	ɨ̃3ɨ̃5	vowel and tone		
ɨ́	ɨ5	vowel and tone		
ɨ́n	̃ɨ̃5	vowel and tone		
ō	o1	vowel and tone		
ūn	õ1	vowel and tone		
ōōn	õ1õ1	vowel and tone		
ōon	õ1õ3	vowel and tone		
ōón	õ1õ5	vowel and tone		
o	o3	vowel and tone		
un	õ3	vowel and tone		
oōn	õ3õ1	vowel and tone		
oon	õ3õ3	vowel and tone		
oón	õ3õ5	vowel and tone		
ó	o5	vowel and tone		
ón	õ5	vowel and tone		
óōn	õ5õ1	vowel and tone		
óon	õ5õ3	vowel and tone		
óón	õ5õ5	vowel and tone		
ū	u1	vowel and tone		
ōn	ũ1	vowel and tone		
ūūn	ũ1ũ1	vowel and tone		
ūun	ũ1ũ3	vowel and tone		
ūún	ũ1ũ5	vowel and tone		
u	u3	vowel and tone		
on	ũ3	vowel and tone		
uūn	ũ3ũ1	vowel and tone		
uun	ũ3ũ3	vowel and tone		
uún	ũ3ũ5	vowel and tone		
ú	u5	vowel and tone		
ún	ũ5	vowel and tone		
úūn	ũ5ũ1	vowel and tone		
úun	ũ5ũ3	vowel and tone		
úún	ũ5ũ5	vowel and tone		
