ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Floating_Tone,Loan_Source
SanJeronimoProgresoMixtec_A-22_allday-1,,SanJeronimoProgresoMixtec_A,22_allday,ndīví,ndīví,ⁿd i ³ β i ⁵,,shields1988syntactic,,,^nd ī v í$,SanJeronimoProgresoMixtec_A,,
SantiagoJamiltepecMixtec-22_allday-1,,SantiagoJamiltepecMixtec,22_allday,ndī-yāká,ndī-yāká,n *d/ð i ³ + *y/ʒ a ³ k a ⁵,,johnson1988syntactic,,,^n d ī - y ā k á$,SantiagoJamiltepecMixtec,,
SanPedroySanPabloTeposcolula1600Mixtec-22_allday-1,,SanPedroySanPabloTeposcolula1600Mixtec,22_allday,duvui,duvui,*d/ð *u/u β *u/u *i/i,,alvarado1593vocabulario,,,^d u v u i$,SanPedroySanPabloTeposcolula1600Mixtec,,
SanJuanColoradoMixtec_A-22_allday-1,,SanJuanColoradoMixtec_A,22_allday,nduví,nduví,ⁿd *u/u β i ⁵,,stark1986diccionario,,,^nd u v í$,SanJuanColoradoMixtec_A,,
SantaMariaZacatepecMixtec-22_allday-1,,SantaMariaZacatepecMixtec,22_allday,nduvi,nduvi,n *d/ð *u/u β *i/i,,towne2011gramatica,,,^n d u v i$,SantaMariaZacatepecMixtec,,
SanEstebanAtatlahucaMixtec_A-22_allday-1,,SanEstebanAtatlahucaMixtec_A,22_allday,ndiáca,ndiáca,ⁿd *i/i a ⁵ k *a/a,,alexander1980gramatica,,,^nd i á c a$,SanEstebanAtatlahucaMixtec_A,,
SanPedroySanPabloTeposcolulaMixtec-267_altar-1,,SanPedroySanPabloTeposcolulaMixtec,267_altar,tayu,tayu,t *a/a *y/ʒ *u/u,,josserand1983mixtec,,,^t a y u$,SanPedroySanPabloTeposcolulaMixtec,,
AbasoloValleMixtec-1_animal-1,,AbasoloValleMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,galindo-sanchez2009vocabulario,,,^k i t i$,default,,
YoloxochitlMixtec-1_animal-1,,YoloxochitlMixtec,1_animal,ki³ti⁴,ki³ti⁴,k *i/i ?<³> t *i/i ?<⁴>,,amith2020yoloxochitl,,,^k i <³> t i <⁴> $,YoloxochitlMixtec,,
SantiagoJamiltepecMixtec-1_animal-1,,SantiagoJamiltepecMixtec,1_animal,kɨ̄tɨ̄,kɨ̄tɨ̄,k ɨ ³ t ɨ ³,,johnson1988syntactic,,,^k ɨ̄ t ɨ̄$,SantiagoJamiltepecMixtec,,
SantoTomasOcotepecMixtec-1_animal-1,,SantoTomasOcotepecMixtec,1_animal,kītī,kītī,k i ³ t *ī/i ³,,alexander1988syntactic,,,^k ī t ī$,SantoTomasOcotepecMixtec,,
SanJeronimoProgresoMixtec_A-1_animal-1,,SanJeronimoProgresoMixtec_A,1_animal,kíti,kíti,k i ⁵ t *i/i,,shields1988syntactic,,,^k í t i$,SanJeronimoProgresoMixtec_A,,
AyutlalosLibresMixtec_A-1_animal-1,,AyutlalosLibresMixtec_A,1_animal,kitīh,kitīh,k *i/i t i ³ *h/ʔ,,hills1990syntactic,,,^k i t ī h$,default,,
SanJuanCoatzospamMixtec_A-1_animal-1,,SanJuanCoatzospamMixtec_A,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,small1990syntactic,,,^k ɨ t ɨ$,SanJuanCoatzospamMixtec_A,,
AlacatlatzalaMixtec_B-1_animal-1,,AlacatlatzalaMixtec_B,1_animal,kīti,kīti,k i ³ t *i/i,,zylstra1991syntactic,,,^k ī t i$,default,,
SanJuanDiuxiMixtec_A-1_animal-1,,SanJuanDiuxiMixtec_A,1_animal,kɨ̄tɨ,kɨ̄tɨ,k ɨ ³ t *ɨ/ɨ,,kuiper1991syntactic,,,^k ɨ̄ t ɨ$,SanJuanDiuxiMixtec_A,,
ConcepcionPapaloCuicatec-1_animal-1,,ConcepcionPapaloCuicatec,1_animal,ītī,ītī,i ³ t *ī/i ³,,bradley1991preliminary,,,^ī t ī$,default,,
SantiagoYosonduaMixtec_A-1_animal-1,,SantiagoYosonduaMixtec_A,1_animal,kɨ̄tɨ̄,kɨ̄tɨ̄,k ɨ ³ t ɨ ³,,farris1992syntactic,,,^k ɨ̄ t ɨ̄$,SantiagoYosonduaMixtec_A,,
SanJuanCopalaTriqui-1_animal-1,,SanJuanCopalaTriqui,1_animal,shkuu³,shkuu³,ʃ k *u/u *u/u *³/⁴,,hollenbach1992syntactic,,,^sh k u u ³$,SanJuanCopalaTriqui,,
SanAndresChicahuaxtla1890Triqui-1_animal-1,,SanAndresChicahuaxtla1890Triqui,1_animal,Chukuha,chukuha,tʃ *u/u k *u/u *h/ʔ *a/a,,belmar1897ensayo,,,^ch u k u h a$,default,,
SanPedroySanPabloTeposcolula1600Mixtec-1_animal-1,,SanPedroySanPabloTeposcolula1600Mixtec,1_animal,quete,quete,k *e/e t *e/e,,alvarado1593vocabulario,,,^qu e t e$,SanPedroySanPabloTeposcolula1600Mixtec,,
SanJuanDiuxiMixtec_B-1_animal-1,,SanJuanDiuxiMixtec_B,1_animal,kɨ̀tɨ̀,kɨ̀tɨ̀,k ɨ ¹ t ɨ ¹,,durr1987preliminary,,,^k ɨ̀ t ɨ̀$,SanJuanDiuxiMixtec_B,,
SantaMariaPenolesMixtec-1_animal-1,,SantaMariaPenolesMixtec,1_animal,kɨ̀tɨ̀,kɨ̀tɨ̀,k ɨ ¹ t ɨ ¹,,durr1987preliminary,,,^k ɨ̀ t ɨ̀$,SantaMariaPenolesMixtec,,
SanPedroMolinosMixtec-1_animal-1,,SanPedroMolinosMixtec,1_animal,kītī,kītī,k i ³ t *ī/i ³,,durr1987preliminary,,,^k ī t ī$,SanPedroMolinosMixtec,,
SantoTomasOcotepecMixtec-1_animal-2,,SantoTomasOcotepecMixtec,1_animal,kītī,kītī,k i ³ t *ī/i ³,,durr1987preliminary,,,^k ī t ī$,SantoTomasOcotepecMixtec,,
SanEstebanAtatlahucaMixtec_B-1_animal-1,,SanEstebanAtatlahucaMixtec_B,1_animal,kɨ̄tɨ̄,kɨ̄tɨ̄,k ɨ ³ t ɨ ³,,durr1987preliminary,,,^k ɨ̄ t ɨ̄$,SanEstebanAtatlahucaMixtec_B,,
SanMiguelElGrandeMixtec_B-1_animal-1,,SanMiguelElGrandeMixtec_B,1_animal,kɨ̄tɨ̄,kɨ̄tɨ̄,k ɨ ³ t ɨ ³,,durr1987preliminary,,,^k ɨ̄ t ɨ̄$,SanMiguelElGrandeMixtec_B,,
SantiagoCacaloxtepecMixtec-1_animal-1,,SantiagoCacaloxtepecMixtec,1_animal,kītì,kītì,k i ³ t i ¹,,durr1987preliminary,,,^k ī t ì$,SantiagoCacaloxtepecMixtec,,
SanJeronimoXayacatlanMixtec-1_animal-1,,SanJeronimoXayacatlanMixtec,1_animal,kīsì,kīsì,k i ³ s i ¹,,durr1987preliminary,,,^k ī s ì$,SanJeronimoXayacatlanMixtec,,
MetlatonocMixtec-1_animal-1,,MetlatonocMixtec,1_animal,kītí,kītí,k i ³ t i ⁵,,durr1987preliminary,,,^k ī t í$,default,,
CahuatacheMixtec-1_animal-1,,CahuatacheMixtec,1_animal,kītī,kītī,k i ³ t *ī/i ³,,durr1987preliminary,,,^k ī t ī$,default,,
SanJeronimoProgresoMixtec_B-1_animal-1,,SanJeronimoProgresoMixtec_B,1_animal,kítì,kítì,k i ⁵ t i ¹,,durr1987preliminary,,,^k í t ì$,SanJeronimoProgresoMixtec_B,,
SantaMariaJicaltepecMixtec-1_animal-1,,SantaMariaJicaltepecMixtec,1_animal,kìtì,kìtì,k i ¹ t i ¹,,durr1987preliminary,,,^k ì t ì$,SantaMariaJicaltepecMixtec,,
SanAgustinChayucoMixtec-1_animal-1,,SanAgustinChayucoMixtec,1_animal,kɨ̄tɨ̄,kɨ̄tɨ̄,k ɨ ³ t ɨ ³,,durr1987preliminary,,,^k ɨ̄ t ɨ̄$,default,,
TlahuapaMixtec-1_animal-1,,TlahuapaMixtec,1_animal,kití,kití,k *i/i t i ⁵,,oxnard2020,,,^k i t í$,TlahuapaMixtec,,
PiedraAzulMixtec-1_animal-1,,PiedraAzulMixtec,1_animal,kitsǐ,kitsǐ,k *i/i ts i ¹⁵,,oxnard2020,,,^k i ts ǐ$,default,,
SanMarcoslaFlorMixtec-1_animal-1,,SanMarcoslaFlorMixtec,1_animal,kijtsǐ,kijtsǐ,k *i/i *j/h ts i ¹⁵,,oxnard2020,,,^k i j ts ǐ$,SanMarcoslaFlorMixtec,,
SanSebastianMonteMixtec_A-1_animal-1,,SanSebastianMonteMixtec_A,1_animal,kitì,kitì,k *i/i t i ¹,,oxnard2020,,,^k i t ì$,SanSebastianMonteMixtec_A,,
LaBateaMixtec-1_animal-1,,LaBateaMixtec,1_animal,kitǐ,kitǐ,k *i/i t i ¹⁵,,oxnard2020,,,^k i t ǐ$,default,,
SanAgustinChayucoMixtec-1_animal-2,,SanAgustinChayucoMixtec,1_animal,quɨtɨ,quɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,pensinger1974diccionario,,,^qu ɨ t ɨ$,default,,
SanJuanColoradoMixtec_A-1_animal-1,,SanJuanColoradoMixtec_A,1_animal,quɨtɨ,quɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,stark1986diccionario,,,^qu ɨ t ɨ$,SanJuanColoradoMixtec_A,,
SantaMariaZacatepecMixtec-1_animal-1,,SantaMariaZacatepecMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,towne2011gramatica,,,^k i t i$,SantaMariaZacatepecMixtec,,
AlacatlatzalaMixtec_A-1_animal-1,,AlacatlatzalaMixtec_A,1_animal,kiti̠,kiti̠,k *i/i t *i̠/i ¹,,zylstra2012gramatica,,,^k i t i̠$,default,,
XochapaMixtec-1_animal-1,,XochapaMixtec,1_animal,kití,kití,k *i/i t i ⁵,,stark2013diccionario,,,^k i t í$,XochapaMixtec,,
MagdalenaPenascoMixtec-1_animal-1,,MagdalenaPenascoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,hollenbach2017diccionario,,,^k i t i$,default,,
SanEstebanAtatlahucaMixtec_A-1_animal-1,,SanEstebanAtatlahucaMixtec_A,1_animal,quɨtɨ,quɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,alexander1980gramatica,,,^qu ɨ t ɨ$,SanEstebanAtatlahucaMixtec_A,,
SantaMariaPapaloCuicatec-1_animal-1,,SantaMariaPapaloCuicatec,1_animal,i³ti³,i³ti³,*i/i *³/⁴ t *i/i *³/⁴,,anderson1983diccionario,,,^i ³ t i ³$,SantaMariaPapaloCuicatec,,
SanJuanTepeuxila1900Mixtec-1_animal-1,,SanJuanTepeuxila1900Mixtec,1_animal,iti,iti,*i/i t *i/i,,belmar1902el-cuicateco,,,^i t i$,SanJuanTepeuxila1900Mixtec,,
Proto-Mixtec-1_animal-1,,Proto-Mixtec,1_animal,kɨ́tɨ́ʔ,kɨ́tɨ́ʔ,k ɨ ⁵ t ɨ ⁵ ʔ,,swanton2020observaciones,,,^k ɨ́ t ɨ́ ʔ$,default,,
AlcozaucaGuerreroMixtec-1_animal-1,,AlcozaucaGuerreroMixtec,1_animal,ki³ti⁴,ki³ti⁴,k *i/i *³/⁴ t *i/i *⁴/²,,swanton2020observaciones,,,^k i ³ t i ⁴$,default,,
SantaMariaZacatepecMixtec-1_animal-2,,SantaMariaZacatepecMixtec,1_animal,ki²ti²ʔ,ki²ti²ʔ,k *i/i *²/³ t *i/i *²/³ ʔ,,swanton2020observaciones,,,^k i ² t i ² ʔ$,SantaMariaZacatepecMixtec,,
ChalcatongoHidalgoMixtec_B-1_animal-1,,ChalcatongoHidalgoMixtec_B,1_animal,kɨ²tɨ²,kɨ²tɨ²,k *ɨ/ɨ *²/³ t *ɨ/ɨ *²/³,,swanton2020observaciones,,,^k ɨ ² t ɨ ²$,default,,
YucuquimiOcampoMixtec-1_animal-1,,YucuquimiOcampoMixtec,1_animal,ki³ti¹,ki³ti¹,k *i/i *³/⁴ t *i/i *¹/¹,,swanton2020observaciones,,,^k i ³ t i ¹$,YucuquimiOcampoMixtec,,
SanAndresChicahuaxtlaTriqui_A-1_animal-1,,SanAndresChicahuaxtlaTriqui_A,1_animal,xucu³,xucu³,*x/ʃ *u/u k *u/u *³/⁴,,good1978diccionario,,,^x u c u ³$,default,,
ElJicaralMixtec-1_animal-1,,ElJicaralMixtec,1_animal,kití,kití,k *i/i t i ⁵,,Emily John-Martin,,,^k i t í$,default,,
SantaMariaAcatepecMixtec-1_animal-1,,SantaMariaAcatepecMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaMariaAcatepecMixtec,,
SanMiguelAchiutlaMixtec-1_animal-1,,SanMiguelAchiutlaMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanMiguelAchiutlaMixtec,,
SantaCatarinaAdequezMixtec-1_animal-1,,SantaCatarinaAdequezMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantaCatarinaAdequezMixtec,,
SanMiguelAhuehuetitlanMixtec-1_animal-1,,SanMiguelAhuehuetitlanMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanMiguelAhuehuetitlanMixtec,,
AlacatlatzalaMixtec_C-1_animal-1,,AlacatlatzalaMixtec_C,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
AlcozaucaGuerreroMixtec-1_animal-2,,AlcozaucaGuerreroMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
SanMiguelAmatitlanMixtec-1_animal-1,,SanMiguelAmatitlanMixtec,1_animal,kiči,kiči,k *i/i tʃ *i/i,,josserand1983mixtec,,,^k i č i$,SanMiguelAmatitlanMixtec,,
SantaMariaApazcoMixtec-1_animal-1,,SantaMariaApazcoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantaMariaApazcoMixtec,,
SantiagoApoalaMixtec-1_animal-1,,SantiagoApoalaMixtec,1_animal,kiti(tata),kititata,k *i/i t *i/i t *a/a t *a/a,,josserand1983mixtec,,,^k i t i t a t a$,SantiagoApoalaMixtec,,
SanEstebanAtatlahucaMixtec_B-1_animal-2,,SanEstebanAtatlahucaMixtec_B,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanEstebanAtatlahucaMixtec_B,,
SanAgustinAtenangoMixtec-1_animal-1,,SanAgustinAtenangoMixtec,1_animal,kītì,kītì,k i ³ t i ¹,,josserand1983mixtec,,,^k ī t ì$,default,,
SanPedroAtoyacMixtec-1_animal-1,,SanPedroAtoyacMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroAtoyacMixtec,,
AyutlalosLibresMixtec_B-1_animal-1,,AyutlalosLibresMixtec_B,1_animal,kitiʔ,kitiʔ,k *i/i t *i/i ʔ,,josserand1983mixtec,,,^k i t i ʔ$,default,,
SantaCruzBravoMixtec-1_animal-1,,SantaCruzBravoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantaCruzBravoMixtec,,
SantiagoCacaloxtepecMixtec-1_animal-2,,SantiagoCacaloxtepecMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantiagoCacaloxtepecMixtec,,
CahuatacheMixtec-1_animal-2,,CahuatacheMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
ChalcatongoHidalgoMixtec_B-1_animal-2,,ChalcatongoHidalgoMixtec_B,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,default,,
SanAgustinChayucoMixtec-1_animal-3,,SanAgustinChayucoMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,default,,
SanPedroChayucoMixtec-1_animal-1,,SanPedroChayucoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroChayucoMixtec,,
SantiagoChazumbaMixtec-1_animal-1,,SantiagoChazumbaMixtec,1_animal,kiȼi,kiȼi,k *i/i ts *i/i,,josserand1983mixtec,,,^k i ȼ i$,SantiagoChazumbaMixtec,,
SanMiguelChicahuaMixtec-1_animal-1,,SanMiguelChicahuaMixtec,1_animal,ti(tata),titata,t *i/i t *a/a t *a/a,,josserand1983mixtec,,,^t i t a t a$,SanMiguelChicahuaMixtec,,
ChigmecatitlanMixtec-1_animal-1,,ChigmecatitlanMixtec,1_animal,kiȼi,kiȼi,k *i/i ts *i/i,,josserand1983mixtec,,,^k i ȼ i$,default,,
SanJuanCoatzospamMixtec_B-1_animal-1,,SanJuanCoatzospamMixtec_B,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanJuanCoatzospamMixtec_B,,
CoicoyanlasFloresMixtec-1_animal-1,,CoicoyanlasFloresMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
SanJuanColoradoMixtec_B-1_animal-1,,SanJuanColoradoMixtec_B,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanJuanColoradoMixtec_B,,
CosoltepecMixtec-1_animal-1,,CosoltepecMixtec,1_animal,kisi,kisi,k *i/i s *i/i,,josserand1983mixtec,,,^k i s i$,default,,
SanPedroCoxcaltepecCantarosMixtec-1_animal-1,,SanPedroCoxcaltepecCantarosMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroCoxcaltepecCantarosMixtec,,
SanCristobalJamiltepecMixtec-1_animal-1,,SanCristobalJamiltepecMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanCristobalJamiltepecMixtec,,
CuatzoquitengoMixtec-1_animal-1,,CuatzoquitengoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
SantaAnaCuauhtemocMixtec-1_animal-1,,SantaAnaCuauhtemocMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaAnaCuauhtemocMixtec,,
CuilapamGuerreroMixtec-1_animal-1,,CuilapamGuerreroMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,default,,
CuyamecalcoVillaZaragozaMixtec-1_animal-1,,CuyamecalcoVillaZaragozaMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,default,,
SanJuanDiuxiMixtec_B-1_animal-2,,SanJuanDiuxiMixtec_B,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanJuanDiuxiMixtec_B,,
SanMartinDuraznosMixtec_B-1_animal-1,,SanMartinDuraznosMixtec_B,1_animal,kīȼì,kīȼì,k i ³ ts i ¹,,josserand1983mixtec,,,^k ī ȼ ì$,SanMartinDuraznosMixtec_B,,
SanMartinEstadoMixtec-1_animal-1,,SanMartinEstadoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanMartinEstadoMixtec,,
SantaCatarinaEstetlaMixtec-1_animal-1,,SantaCatarinaEstetlaMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaCatarinaEstetlaMixtec,,
SanFranciscolasFloresMixtec-1_animal-1,,SanFranciscolasFloresMixtec,1_animal,kiči,kiči,k *i/i tʃ *i/i,,josserand1983mixtec,,,^k i č i$,SanFranciscolasFloresMixtec,,
SanMiguelElGrandeMixtec_A-1_animal-1,,SanMiguelElGrandeMixtec_A,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanMiguelElGrandeMixtec_A,,
GuadalupeVillahermosaMixtec-1_animal-1,,GuadalupeVillahermosaMixtec,1_animal,kīȼì,kīȼì,k i ³ ts i ¹,,josserand1983mixtec,,,^k ī ȼ ì$,default,,
SantaMariaHuazolotitlanMixtec-1_animal-1,,SantaMariaHuazolotitlanMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaMariaHuazolotitlanMixtec,,
SanAntonioHuitepecMixtec-1_animal-1,,SanAntonioHuitepecMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanAntonioHuitepecMixtec,,
SantaCruzItundujiaMixtec-1_animal-1,,SantaCruzItundujiaMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaCruzItundujiaMixtec,,
IxpantepecNievesMixtec-1_animal-1,,IxpantepecNievesMixtec,1_animal,kītì,kītì,k i ³ t i ¹,,josserand1983mixtec,,,^k ī t ì$,default,,
SantiagoIxtayutlaMixtec-1_animal-1,,SantiagoIxtayutlaMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantiagoIxtayutlaMixtec,,
SantiagoIxtaltepecMixtec-1_animal-1,,SantiagoIxtaltepecMixtec,1_animal,kiti(tata),kititata,k *i/i t *i/i t *a/a t *a/a,,josserand1983mixtec,,,^k i t i t a t a$,SantiagoIxtaltepecMixtec,,
SanMiguelIxtapamMixtec-1_animal-1,,SanMiguelIxtapamMixtec,1_animal,kisi,kisi,k *i/i s *i/i,,josserand1983mixtec,,,^k i s i$,SanMiguelIxtapamMixtec,,
SantiagoJamiltepecMixtec-1_animal-2,,SantiagoJamiltepecMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantiagoJamiltepecMixtec,,
SanFranciscoJaltepetongoMixtec-1_animal-1,,SanFranciscoJaltepetongoMixtec,1_animal,(-tɨ),-tɨ,+ t *ɨ/ɨ,,josserand1983mixtec,,,^ - t ɨ$,SanFranciscoJaltepetongoMixtec,,
SanFranciscoJaltepetongoMixtec-1_animal-2,,SanFranciscoJaltepetongoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanFranciscoJaltepetongoMixtec,,
SantaMariaJicaltepecMixtec-1_animal-2,,SantaMariaJicaltepecMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantaMariaJicaltepecMixtec,,
SanPedroJicayanMixtec-1_animal-1,,SanPedroJicayanMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroJicayanMixtec,,
SanPedroJocotipacMixtec-1_animal-1,,SanPedroJocotipacMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroJocotipacMixtec,,
SantiagoJuxtlahuacaMixtec-1_animal-1,,SantiagoJuxtlahuacaMixtec,1_animal,kitʸi,kitʸi,k *i/i tʲ *i/i,,josserand1983mixtec,,,^k i tʸ i$,SantiagoJuxtlahuacaMixtec,,
SanLorenzoMixtec-1_animal-1,,SanLorenzoMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SanLorenzoMixtec,,
SantaCatarinaMechoacanMixtec-1_animal-1,,SantaCatarinaMechoacanMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaCatarinaMechoacanMixtec,,
MetlatonocMixtec-1_animal-2,,MetlatonocMixtec,1_animal,kītí,kītí,k i ³ t i ⁵,,josserand1983mixtec,,,^k ī t í$,default,,
ElRosarioMicaltepecMixtec-1_animal-1,,ElRosarioMicaltepecMixtec,1_animal,kisi,kisi,k *i/i s *i/i,,josserand1983mixtec,,,^k i s i$,default,,
SanJuanMixtepecMixtec-1_animal-1,,SanJuanMixtepecMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanJuanMixtepecMixtec,,
SanPedroMolinosMixtec-1_animal-2,,SanPedroMolinosMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanPedroMolinosMixtec,,
SanSebastianMonteMixtec_B-1_animal-1,,SanSebastianMonteMixtec_B,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanSebastianMonteMixtec_B,,
SantaLuciaMonteverdeMixtec-1_animal-1,,SantaLuciaMonteverdeMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaLuciaMonteverdeMixtec,,
SanLuisMoreliaMixtec-1_animal-1,,SanLuisMoreliaMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanLuisMoreliaMixtec,,
SanAntonioNduayacoMixtec-1_animal-1,,SanAntonioNduayacoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanAntonioNduayacoMixtec,,
SanJorgeNuchitaMixtec-1_animal-1,,SanJorgeNuchitaMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SanJorgeNuchitaMixtec,,
SantaCruzNundacoMixtec-1_animal-1,,SantaCruzNundacoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantaCruzNundacoMixtec,,
SantiagoNundicheMixtec-1_animal-1,,SantiagoNundicheMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantiagoNundicheMixtec,,
SantoDomingoNundoMixtec-1_animal-1,,SantoDomingoNundoMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantoDomingoNundoMixtec,,
SantaMariaNutioMixtec-1_animal-1,,SantaMariaNutioMixtec,1_animal,kɨtɨ,kɨtɨ,k *ɨ/ɨ t *ɨ/ɨ,,josserand1983mixtec,,,^k ɨ t ɨ$,SantaMariaNutioMixtec,,
SantoDomingoNuxaaMixtec-1_animal-1,,SantoDomingoNuxaaMixtec,1_animal,kiti,kiti,k *i/i t *i/i,,josserand1983mixtec,,,^k i t i$,SantoDomingoNuxaaMixtec,,
SanAndresNuxinoMixtec-1_animal-1,,SanAndresNuxinoMixtec,1_animal,ti(kʷi̧ʔna̧),tikʷi̧ʔna̧,t *i/i kʷ *i̧/ĩ ʔ n *a̧/ã,,josserand1983mixtec,,,^t i kʷ i̧ ʔ n a̧$,SanAndresNuxinoMixtec,,
